Var1,Var2,Var3,Var4,Var5,Var6
0225185634,human_9,2.0754,base,1,0
0225182656,human_9,2.0754,base,0,0
0225190940,human_9,2.1,base,1,0
0225183256,human_9,2.1,base,0,0
0225190400,human_9,2.2,base,1,0
0225183200,human_9,2.2,base,0,0
0225190830,human_9,1.8,base,1,0
0225182755,human_9,1.8,base,0,0
0225190045,human_9,1.6,base,1,0
0225182755,human_9,1.6,base,0,0
0225190851,human_9,2.0754,hip,1,0
0225182808,human_9,2.0754,hip,0,0
0225190040,human_9,2.1,hip,1,0
0225182904,human_9,2.1,hip,0,0
0225191320,human_9,2.2,hip,1,0
0225183822,human_9,2.2,hip,0,0
0226003647,human_9,1.8,hip,1,0
0225235927,human_9,1.8,hip,0,0
0225232240,human_9,1.6,hip,1,0
0225230645,human_9,1.6,hip,0,0
0225223300,human_9,2.0754,knee,1,0
0225215903,human_9,2.0754,knee,0,0
0225212257,human_9,2.1,knee,1,0
0225204615,human_9,2.1,knee,0,0
0225200843,human_9,2.2,knee,1,0
0225193135,human_9,2.2,knee,0,0
0226012619,human_9,1.8,knee,1,0
0226004515,human_9,1.8,knee,0,0
0226000255,human_9,1.6,knee,1,0
0225232150,human_9,1.6,knee,0,0
0225224529,human_9,2.0754,ank,1,0
0225220822,human_9,2.0754,ank,0,0
0225212846,human_9,2.1,ank,1,0
0225205731,human_9,2.1,ank,0,0
0225202115,human_9,2.2,ank,1,0
0225194512,human_9,2.2,ank,0,0
0226004756,human_9,1.8,ank,1,0
0226001021,human_9,1.8,ank,0,0
0225233228,human_9,1.6,ank,1,0
0225225843,human_9,1.6,ank,0,0
0225222222,human_9,2.0754,hk,1,0
0225214953,human_9,2.0754,hk,0,0
0225211010,human_9,2.1,hk,1,0
0225203417,human_9,2.1,hk,0,0
0225195733,human_9,2.2,hk,1,0
0225194323,human_9,2.2,hk,0,0
0226005022,human_9,1.8,hk,1,0
0226001740,human_9,1.8,hk,0,0
0225234129,human_9,1.6,hk,1,0
0225230738,human_9,1.6,hk,0,0
0225222953,human_9,2.0754,ha,1,0
0225215549,human_9,2.0754,ha,0,0
0225212041,human_9,2.1,ha,1,0
0225210149,human_9,2.1,ha,0,0
0225202621,human_9,2.2,ha,1,0
0225194802,human_9,2.2,ha,0,0
0225231738,human_9,1.8,ha,1,0
0225230912,human_9,1.8,ha,0,0
0225223627,human_9,1.6,ha,1,0
0225222812,human_9,1.6,ha,0,0
