fileName,modelName,hipLen,weight,kneeDir,constViolate
02261538130101,human_9,2.0754,base,1,0.0188388621997533
02261508370102,human_9,2.0754,base,0,3.59175205069784e-05
02261551320201,human_9,2.1,base,1,5.04730521969851e-06
02261514410202,human_9,2.1,base,0,0.000664210173425337
02261545420301,human_9,2.2,base,1,0.0116995768584663
02261513440302,human_9,2.2,base,0,0.000404381598179127
02261550170401,human_9,1.8,base,1,0.00280674057452776
02261509400402,human_9,1.8,base,0,0.035240267639053
02261542230501,human_9,1.6,base,1,0.00669612219654417
02261509360502,human_9,1.6,base,0,0.00390239858110335
02261550320111,human_9,2.0754,hip,1,0.00446764953452748
02261509530112,human_9,2.0754,hip,0,8.04393657781888e-05
02261542510211,human_9,2.1,hip,1,0.0175056963192635
02261511030212,human_9,2.1,hip,0,0.00178247282547395
02261554580311,human_9,2.2,hip,1,0.00931198299139214
02261520000312,human_9,2.2,hip,0,0.00087899755077872
02270126410411,human_9,1.8,hip,1,0.0288918275926405
02270056260412,human_9,1.8,hip,0,0.000892893293663841
02270025400511,human_9,1.6,hip,1,0.000145904072725529
02262357590512,human_9,1.6,hip,0,0.0110734590841449
02262327390121,human_9,2.0754,knee,1,0.000195624080868866
02262254310122,human_9,2.0754,knee,0,0.00690834532205066
02262220530221,human_9,2.1,knee,1,0.000659096986365604
02262151460222,human_9,2.1,knee,0,0.00231428257377895
02262121050321,human_9,2.2,knee,1,0.302669003686983
02262055430322,human_9,2.2,knee,0,0.00646953301668915
02262025250421,human_9,1.8,knee,1,0.000255420702365356
02261957020422,human_9,1.8,knee,0,0.00283299990394599
02270127140521,human_9,1.6,knee,1,0.000492496910552432
02270101460522,human_9,1.6,knee,0,0.00464257953147444
02270027230131,human_9,2.0754,ank,1,0.30402852170853
02262359140132,human_9,2.0754,ank,0,2.22886922548704e-05
02262329520231,human_9,2.1,ank,1,0.00171243037556943
02262301390232,human_9,2.1,ank,0,0.00149074370174584
02262231550331,human_9,2.2,ank,1,0.0539772459141824
02262201090332,human_9,2.2,ank,0,0.000616030647790267
02262127290431,human_9,1.8,ank,1,0.000802142520993348
02262055090432,human_9,1.8,ank,0,0.0239929987935285
02262022590531,human_9,1.6,ank,1,4.75093053077181e-05
02261953420532,human_9,1.6,ank,0,0.0787141281098087
02270034170141,human_9,2.0754,hk,1,0.0207660099366487
02270030290142,human_9,2.0754,hk,0,0.0509407958280716
02262353350241,human_9,2.1,hk,1,0.0731227992994456
02262327230242,human_9,2.1,hk,0,2.56830855037982e-05
