Var1,Var2,Var3,Var4,Var5,Var6
02270118050101,human_9,2.0754,base,1,1418.59191833068
02270118050102,human_9,2.0754,base,0,2587.2113608083
02270118050201,human_9,2.1,base,1,1434.62174543943
02270118050202,human_9,2.1,base,0,2602.88725552918
02270118050301,human_9,2.2,base,1,1499.7519936816
02270118050302,human_9,2.2,base,0,2666.28023491582
02270118050401,human_9,1.8,base,1,1238.62120501247
02270118050402,human_9,1.8,base,0,2409.75852419013
02270118050501,human_9,1.6,base,1,1107.13942191432
02270118050502,human_9,1.6,base,0,2278.86524285841
02270118050111,human_9,2.0754,hip,1,1418.59191833068
02270118050112,human_9,2.0754,hip,0,2587.2113608083
02270118050211,human_9,2.1,hip,1,1434.62174543943
02270118040212,human_9,2.1,hip,0,2602.88725552918
02270118040311,human_9,2.2,hip,1,1499.7519936816
02270118050312,human_9,2.2,hip,0,2666.28023491582
02270118050411,human_9,1.8,hip,1,1238.62120501247
02270118050412,human_9,1.8,hip,0,2409.75852419013
02270118060511,human_9,1.6,hip,1,1107.13942191432
02270118060512,human_9,1.6,hip,0,2278.86524285841
02270118050121,human_9,2.0754,knee,1,1418.59191833068
02270118050122,human_9,2.0754,knee,0,2587.2113608083
02270118060221,human_9,2.1,knee,1,1434.62174543943
02270118050222,human_9,2.1,knee,0,2602.88725552918
02270118050321,human_9,2.2,knee,1,1499.7519936816
02270118050322,human_9,2.2,knee,0,2666.28023491582
02270118050421,human_9,1.8,knee,1,1238.62120501247
02270118050422,human_9,1.8,knee,0,2409.75852419013
02270118050521,human_9,1.6,knee,1,1107.13942191432
02270118060522,human_9,1.6,knee,0,2278.86524285841
02270118050131,human_9,2.0754,ank,1,1418.59191833068
02270118060132,human_9,2.0754,ank,0,2587.2113608083
02270118050231,human_9,2.1,ank,1,1434.62174543943
02270118050232,human_9,2.1,ank,0,2602.88725552918
02270118050331,human_9,2.2,ank,1,1499.7519936816
02270118050332,human_9,2.2,ank,0,2666.28023491582
02270118050431,human_9,1.8,ank,1,1238.62120501247
02270118050432,human_9,1.8,ank,0,2409.75852419013
02270118050531,human_9,1.6,ank,1,1107.13942191432
02270118050532,human_9,1.6,ank,0,2278.86524285841
02270118050141,human_9,2.0754,hk,1,1418.59191833068
02270118050142,human_9,2.0754,hk,0,2587.2113608083
02270118060241,human_9,2.1,hk,1,1434.62174543943
02270118050242,human_9,2.1,hk,0,2602.88725552918
02270118050341,human_9,2.2,hk,1,1499.7519936816
02270118050342,human_9,2.2,hk,0,2666.28023491582
02270118050441,human_9,1.8,hk,1,1238.62120501247
02270118050442,human_9,1.8,hk,0,2409.75852419013
02270118060541,human_9,1.6,hk,1,1107.13942191432
02270118050542,human_9,1.6,hk,0,2278.86524285841
02270118050151,human_9,2.0754,ha,1,1418.59191833068
02270118050152,human_9,2.0754,ha,0,2587.2113608083
02270118050251,human_9,2.1,ha,1,1434.62174543943
02270118050252,human_9,2.1,ha,0,2602.88725552918
02270118050351,human_9,2.2,ha,1,1499.7519936816
02270118050352,human_9,2.2,ha,0,2666.28023491582
02270118050451,human_9,1.8,ha,1,1238.62120501247
02270118050452,human_9,1.8,ha,0,2409.75852419013
02270118050551,human_9,1.6,ha,1,1107.13942191432
02270118040552,human_9,1.6,ha,0,2278.86524285841
02270118050161,human_9,2.0754,ka,1,1418.59191833068
02270118050162,human_9,2.0754,ka,0,2587.2113608083
02270118050261,human_9,2.1,ka,1,1434.62174543943
02270118050262,human_9,2.1,ka,0,2602.88725552918
02270118050361,human_9,2.2,ka,1,1499.7519936816
02270118060362,human_9,2.2,ka,0,2666.28023491582
02270118060461,human_9,1.8,ka,1,1238.62120501247
02270118050462,human_9,1.8,ka,0,2409.75852419013
02270118050561,human_9,1.6,ka,1,1107.13942191432
02270118060562,human_9,1.6,ka,0,2278.86524285841
02270118170101,human_9_load,2.0754,base,1,1418.59191833068
02270118140102,human_9_load,2.0754,base,0,2587.2113608083
02270118100201,human_9_load,2.1,base,1,1434.62174543943
02270118170202,human_9_load,2.1,base,0,2602.88725552918
02270118140301,human_9_load,2.2,base,1,1499.7519936816
02270118100302,human_9_load,2.2,base,0,2666.28023491582
02270118180401,human_9_load,1.8,base,1,1238.62120501247
02270118140402,human_9_load,1.8,base,0,2409.75852419013
02270118100501,human_9_load,1.6,base,1,1107.13942191432
02270118170502,human_9_load,1.6,base,0,2278.86524285841
02270118140111,human_9_load,2.0754,hip,1,1418.59191833068
02270118100112,human_9_load,2.0754,hip,0,2587.2113608083
02270118180211,human_9_load,2.1,hip,1,1434.62174543943
02270118140212,human_9_load,2.1,hip,0,2602.88725552918
