fileName,modelName,hipLen,weight,kneeDir,constViolate
02261545420301,human_9,2.2,base,1,0.0116995768584663
02261554580311,human_9,2.2,hip,1,0.00931198299139214
02262121050321,human_9,2.2,knee,1,0.302669003686983
02262231550331,human_9,2.2,ank,1,0.0539772459141824
02262318220341,human_9,2.2,hk,1,0.0848906764227099
02270024120351,human_9,2.2,ha,1,0.0022312567571744
02270135240361,human_9,2.2,ka,1,0.00249561551408382
02261513440302,human_9,2.2,base,0,0.000404381598179127
02261520000312,human_9,2.2,hip,0,0.00087899755077872
02262055430322,human_9,2.2,knee,0,0.00646953301668915
02262201090332,human_9,2.2,ank,0,0.000616030647790267
02262248540342,human_9,2.2,hk,0,0.0021089579895616
02270000060352,human_9,2.2,ha,0,0.0312598158640663
02270109000362,human_9,2.2,ka,0,3.18895464770552e-05
02262027310301,human_9_load,2.2,base,1,0.0038068347349147704
02262120140311,human_9_load,2.2,hip,1,0.00631377458993558
02262233110321,human_9_load,2.2,knee,1,0.0013955942927949
02270525500331,human_9_load,2.2,ank,1,0.0022498823394359398
02270329180341,human_9_load,2.2,hk,1,0.0266741446991607
02270417210351,human_9_load,2.2,ha,1,0.0844998870156645
02270240360361,human_9_load,2.2,ka,1,0.090119570896786
02261953080302,human_9_load,2.2,base,0,0.00011138604402075801
02262045490312,human_9_load,2.2,hip,0,0.0411248244818154
02262200360322,human_9_load,2.2,knee,0,0.00113276380039946
02270453230332,human_9_load,2.2,ank,0,0.242260726177957
02270300580342,human_9_load,2.2,hk,0,0.000149078203158703
02270347540352,human_9_load,2.2,ha,0,0.00270777299629153
02270211020362,human_9_load,2.2,ka,0,0.019900049876787
02270330090301,human_9_exo_load,2.2,base,1,4.94206971733484e-05
02270632530311,human_9_exo_load,2.2,hip,1,0.000572274959595978
02270826390321,human_9_exo_load,2.2,knee,1,0.0236246270143245
02270508550331,human_9_exo_load,2.2,ank,1,0.0278867443542972
02270701520341,human_9_exo_load,2.2,hk,1,0.041452814234382004
02270836300351,human_9_exo_load,2.2,ha,1,0.17804170855111603
02270844510361,human_9_exo_load,2.2,ka,1,0.000140470274226525
02270303020302,human_9_exo_load,2.2,base,0,0.00355276957198595
02270603460312,human_9_exo_load,2.2,hip,0,0.00168195667038421
02270755210322,human_9_exo_load,2.2,knee,0,0.977623796135602
02270730320332,human_9_exo_load,2.2,ank,0,0.0349357701843487
02270632150342,human_9_exo_load,2.2,hk,0,0.0024735002000477197
02270804250352,human_9_exo_load,2.2,ha,0,0.00030651296808891204
02270915450362,human_9_exo_load,2.2,ka,0,91.64665782109378
