fileName,modelName,hipLen,weight,kneeDir,constViolat
03200912060401,human_9,1.8,base,1,0.00032442561580600296
03200957380411,human_9,1.8,hip,1,0.008873885747250641
03200956110421,human_9,1.8,knee,1,0.004168047810190471
03200918360431,human_9,1.8,ank,1,4.66931768686308e-05
03200854530441,human_9,1.8,hk,1,7.87535958243035e-05
03201013130451,human_9,1.8,ha,1,0.00939288598444015
03200958120461,human_9,1.8,ka,1,0.0063687914207648105
03200932410402,human_9,1.8,base,0,3.18634258200845e-05
03200938060412,human_9,1.8,hip,0,0.00124033932872792
03200947490422,human_9,1.8,knee,0,0.0013513180460035699
03200828520432,human_9,1.8,ank,0,1.23568831258369e-05
03200800360442,human_9,1.8,hk,0,3.40388474678721e-05
03220431150250,human_9,1.8,ha,0,7.721105979800799e-05
03201028510462,human_9,1.8,ka,0,0.00273558130882767
03201020160401,human_9_load,1.8,base,1,0.00114032081963032
03200950540411,human_9_load,1.8,hip,1,0.00498023836443275
03200942450421,human_9_load,1.8,knee,1,0.0072453622913198
03220445380231,human_9_load,1.8,ank,1,0.0019219413196471398
03201107590441,human_9_load,1.8,hk,1,0.00039100489692818
03201034420451,human_9_load,1.8,ha,1,0.00010947146863443499
03201318290461,human_9_load,1.8,ka,1,0.000301644200666933
03200751370402,human_9_load,1.8,base,0,3.27381203417576e-05
03200948370412,human_9_load,1.8,hip,0,0.00369696264916912
03201011250422,human_9_load,1.8,knee,0,0.000329384849516043
03201258520432,human_9_load,1.8,ank,0,0.00270263256299323
03201014020442,human_9_load,1.8,hk,0,6.71569461262898e-06
03200851340452,human_9_load,1.8,ha,0,0.00663677223437849
03201131560462,human_9_load,1.8,ka,0,0.000192449117384026
03201314240401,human_9_load2,1.8,base,1,0.0052711371435767
03201413280411,human_9_load2,1.8,hip,1,0.00025416577382135497
03201346250421,human_9_load2,1.8,knee,1,0.00012950722108406398
03201359440431,human_9_load2,1.8,ank,1,1.3788178266733802e-05
03201550580441,human_9_load2,1.8,hk,1,0.000215797128173367
03220313520251,human_9_load2,1.8,ha,1,0.00028405015328399703
03201708090461,human_9_load2,1.8,ka,1,0.00301047910994708
03201100130402,human_9_load2,1.8,base,0,0.000313564330965064
03201140320412,human_9_load2,1.8,hip,0,0.000136058972234041
03201117320422,human_9_load2,1.8,knee,0,0.000219056031481932
03201237120432,human_9_load2,1.8,ank,0,0.00031147874238939303
03221400090240,human_9_load2,1.8,hk,0,0.00311165208685538
03201055550452,human_9_load2,1.8,ha,0,0.0014879781050957
03220213090260,human_9_load2,1.8,ka,0,0.00131834580437021
