Var1,Var2,Var3,Var4,Var5,Var6
02261612210101,human_9,2.0754,base,1,0.0119015153878984
02261609180102,human_9,2.0754,base,0,0.0105300217830635
02261618350201,human_9,2.1,base,1,0.0152112334633991
02261543420202,human_9,2.1,base,0,0.000160873149929428
02261608360301,human_9,2.2,base,1,0.0164625542615396
02261611530302,human_9,2.2,base,0,0.00297626764349998
02261611080401,human_9,1.8,base,1,0.00830264004328323
02261609550402,human_9,1.8,base,0,0.00694899075107873
02261543230501,human_9,1.6,base,1,0.00210655323369536
02261611170502,human_9,1.6,base,0,0.0118582416388404
02261614380111,human_9,2.0754,hip,1,0.000335902208946739
02261618520112,human_9,2.0754,hip,0,0.0050292602589373
02261612520211,human_9,2.1,hip,1,0.0102660594164266
02261616080212,human_9,2.1,hip,0,0.0402842021869738
02261614020311,human_9,2.2,hip,1,0.00358033137218028
02261613340312,human_9,2.2,hip,0,0.00384611718847473
02261613500411,human_9,1.8,hip,1,0.0728854575768109
02261550200412,human_9,1.8,hip,0,0.000151791365766507
02261615130511,human_9,1.6,hip,1,0.000291680414325688
02261610380512,human_9,1.6,hip,0,0.00189303681358215
02261611590121,human_9,2.0754,knee,1,0.128923456934588
02261617000122,human_9,2.0754,knee,0,0.325171139663659
02261610230221,human_9,2.1,knee,1,0.0332019072066801
02261610000222,human_9,2.1,knee,0,1.16402928024706e-05
02261614000321,human_9,2.2,knee,1,0.00114069587861017
02261613060322,human_9,2.2,knee,0,0.0128764703003462
02261615490421,human_9,1.8,knee,1,0.000137293919661423
02261618520422,human_9,1.8,knee,0,0.027315228813364
02261616470521,human_9,1.6,knee,1,0.00195331332915868
02261616250522,human_9,1.6,knee,0,0.0415227279866164
02261619480131,human_9,2.0754,ank,1,0.298937367035882
02261611090132,human_9,2.0754,ank,0,0.000802051740107319
02261617300231,human_9,2.1,ank,1,0.0201598567486054
02261614310232,human_9,2.1,ank,0,0.0288466790566378
02261613350331,human_9,2.2,ank,1,0.00264345949036486
02261613040332,human_9,2.2,ank,0,0.0022228607741724
