fileName,modelName,hipLen,weight,kneeDir,constViolate
02261542230501,human_9,1.6,base,1,0.00669612219654417
02270025400511,human_9,1.6,hip,1,0.000145904072725529
02270127140521,human_9,1.6,knee,1,0.000492496910552432
02262022590531,human_9,1.6,ank,1,4.75093053077181e-05
02262119100541,human_9,1.6,hk,1,0.00293946219093612
02262225200551,human_9,1.6,ha,1,7.26049382932793e-05
02262334270561,human_9,1.6,ka,1,0.000414519901034378
02261509360502,human_9,1.6,base,0,0.00390239858110335
02262357590512,human_9,1.6,hip,0,0.0110734590841449
02270101460522,human_9,1.6,knee,0,0.00464257953147444
02261953420532,human_9,1.6,ank,0,0.0787141281098087
02262051050542,human_9,1.6,hk,0,0.0026940079111974604
02262152010552,human_9,1.6,ha,0,4.37397829856567e-05
02262303100562,human_9,1.6,ka,0,0.00324639558573513
02270004490501,human_9_load,1.6,base,1,0.0012430070002304198
02270132590511,human_9_load,1.6,hip,1,0.0115331715932317
02262026190521,human_9_load,1.6,knee,1,0.00243544240187626
02270320520531,human_9_load,1.6,ank,1,0.000158733140080305
02270343570541,human_9_load,1.6,hk,1,0.000352957402911294
02270224070551,human_9_load,1.6,ha,1,4.79208148048485e-06
02270226550561,human_9_load,1.6,ka,1,0.0149349930353482
02262335260502,human_9_load,1.6,base,0,0.00266609351950042
02270104030512,human_9_load,1.6,hip,0,0.00144745443474686
02261954000522,human_9_load,1.6,knee,0,0.0023275636349307
02270302330532,human_9_load,1.6,ank,0,0.0963091216711418
02270312560542,human_9_load,1.6,hk,0,0.00044483812823076506
02270154040552,human_9_load,1.6,ha,0,0.000229992176122746
02270154270562,human_9_load,1.6,ka,0,0.00165015716907998
02270602220501,human_9_exo_load,1.6,base,1,0.0589057799961975
02270428410511,human_9_exo_load,1.6,hip,1,0.12141405853020801
02270456310521,human_9_exo_load,1.6,knee,1,0.014640339271933001
02270806470531,human_9_exo_load,1.6,ank,1,0.005075590361181471
02270709530541,human_9_exo_load,1.6,hk,1,0.000124673926826549
02270818490551,human_9_exo_load,1.6,ha,1,1.6020697455100301
02270917120561,human_9_exo_load,1.6,ka,1,5.6386545399309494e-05
02270534550502,human_9_exo_load,1.6,base,0,6.89236110655145e-05
02270416390512,human_9_exo_load,1.6,hip,0,0.005893240081282189
02270617010522,human_9_exo_load,1.6,knee,0,0.318424731388313
02270737440532,human_9_exo_load,1.6,ank,0,0.000220863870638852
02270639490542,human_9_exo_load,1.6,hk,0,0.000606182246017883
02270749360552,human_9_exo_load,1.6,ha,0,0.005302351047758821
02270858030562,human_9_exo_load,1.6,ka,0,0.0609712705637509
